"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"2278","MLB_COL_SF_20110303",20110303,"COL","SF",5,7,2,140,-160,-127.333333333333,110.333333333333
"2279","MLB_CIN_LAD_20110303",20110303,"CIN","LAD",3,1,2,130,-150,-141.5,124.333333333333
"2309","MLB_DET_BAL_20110304",20110304,"DET","BAL",2,6,2,150,-170,-126.833333333333,110
"2310","MLB_MIA_NYM_20110304",20110304,"MIA","NYM",3,4,2,150,-170,-134.333333333333,117.8
"2311","MLB_PIT_PHI_20110304",20110304,"PIT","PHI",4,7,33,-125,105,117.333333333333,-134.333333333333
"2312","MLB_HOU_STL_20110304",20110304,"HOU","STL",2,10,2,160,-185,-117.333333333333,100.5
"2313","MLB_MIN_TB_20110304",20110304,"MIN","TB",5,4,2,145,-165,-123.5,106.4
"2314","MLB_LAA_CWS_20110304",20110304,"LAA","CWS",3,1,2,150,-170,-118.833333333333,102
"2315","MLB_KC_CHC_20110304",20110304,"KC","CHC",5,4,2,145,-165,-121.666666666667,107.25
"2316","MLB_SEA_CIN_20110304",20110304,"SEA","CIN",1,3,2,165,-190,-110.166666666667,-39.8333333333333
"2317","MLB_CLE_COL_20110304",20110304,"CLE","COL",6,2,2,155,-175,-118.6,62.2
"2318","MLB_OAK_TEX_20110304",20110304,"OAK","TEX",3,6,2,145,-165,-127,108.5
"2319","MLB_ARI_SD_20110304",20110304,"ARI","SD",2,3,2,165,-190,-112,-104.666666666667
"2320","MLB_NYY_BOS_20110304",20110304,"NYY","BOS",3,5,2,145,-165,-122.2,106
"2349","MLB_PHI_PIT_20110305",20110305,"PHI","PIT",3,4,2,100,-120,-163.166666666667,145.5
"2350","MLB_NYY_WSH_20110305",20110305,"NYY","WSH",8,10,2,125,-145,-143.166666666667,126
"2351","MLB_TB_MIN_20110305",20110305,"TB","MIN",1,6,2,125,-145,-143.4,125.25
"2352","MLB_ATL_NYM_20110305",20110305,"ATL","NYM",6,4,2,140,-160,-138,120.833333333333
"2353","MLB_MIL_LAA_20110305",20110305,"MIL","LAA",2,1,2,145,-165,-131,113.5
"2354","MLB_LAD_CIN_20110305",20110305,"LAD","CIN",2,0,2,150,-170,-139,121.6
"2355","MLB_KC_COL_20110305",20110305,"KC","COL",9,10,2,155,-175,-119,68.5
"2356","MLB_CHC_SD_20110305",20110305,"CHC","SD",9,4,2,165,-190,-121.333333333333,104.5
"2357","MLB_OAK_SF_20110305",20110305,"OAK","SF",6,0,2,155,-175,-123.5,106.666666666667
"2358","MLB_ARI_TEX_20110305",20110305,"ARI","TEX",3,2,2,170,-200,-118.333333333333,-35.6666666666667
"2431","MLB_PIT_TB_20110307",20110307,"PIT","TB",2,4,33,-150,130,-44.7142857142857,-115.428571428571
"2432","MLB_WSH_HOU_20110307",20110307,"WSH","HOU",14,9,2,145,-165,-126.285714285714,108.857142857143
"2433","MLB_MIN_STL_20110307",20110307,"MIN","STL",4,10,2,125,-145,-140.428571428571,122.857142857143
"2434","MLB_NYM_DET_20110307",20110307,"NYM","DET",1,2,2,145,-165,-124,106.714285714286
"2435","MLB_CHC_LAA_20110307",20110307,"CHC","LAA",14,13,2,135,-155,-138,120.428571428571
"2436","MLB_CIN_MIL_20110307",20110307,"CIN","MIL",2,15,2,145,-165,-124.571428571429,107.142857142857
"2437","MLB_COL_LAD_20110307",20110307,"COL","LAD",1,7,2,160,-185,-117.571428571429,71.7142857142857
"2438","MLB_SF_TEX_20110307",20110307,"SF","TEX",4,1,2,140,-160,-141.571428571429,124
"2453","MLB_DET_MIA_20110308",20110308,"DET","MIA",5,9,2,140,-160,-129.285714285714,111.857142857143
"2454","MLB_ATL_NYY_20110308",20110308,"ATL","NYY",4,5,2,140,-160,-129.428571428571,112
"2455","MLB_TB_TOR_20110308",20110308,"TB","TOR",3,2,2,150,-170,-123.714285714286,106.428571428571
"2456","MLB_KC_CIN_20110308",20110308,"KC","CIN",2,5,2,150,-170,-125.142857142857,107.714285714286
"2457","MLB_MIL_LAD_20110308",20110308,"MIL","LAD",1,7,2,125,-145,-143.857142857143,126.142857142857
"2458","MLB_OAK_SD_20110308",20110308,"OAK","SD",6,2,2,135,-155,-130.285714285714,112.857142857143
"2459","MLB_SEA_SF_20110308",20110308,"SEA","SF",1,0,2,140,-160,-133.428571428571,116
"2460","MLB_LAA_TEX_20110308",20110308,"LAA","TEX",2,1,2,140,-160,-133,115.428571428571
"2496","MLB_MIA_WSH_20110309",20110309,"MIA","WSH",4,8,1,NA,NA,NA,NA
"2497","MLB_DET_PHI_20110309",20110309,"DET","PHI",3,5,1,NA,NA,NA,NA
"2498","MLB_ATL_STL_20110309",20110309,"ATL","STL",1,6,1,NA,NA,NA,NA
"2499","MLB_NYM_HOU_20110309",20110309,"NYM","HOU",7,2,1,NA,NA,-125,105
"2500","MLB_SF_CWS_20110309",20110309,"SF","CWS",4,2,1,NA,NA,-130,110
"2501","MLB_LAA_COL_20110309",20110309,"LAA","COL",1,8,1,NA,NA,-130,110
"2502","MLB_CHC_KC_20110309",20110309,"CHC","KC",4,13,1,NA,NA,NA,NA
"2503","MLB_TEX_OAK_20110309",20110309,"TEX","OAK",9,2,1,NA,NA,NA,NA
"2504","MLB_LAD_SEA_20110309",20110309,"LAD","SEA",4,9,1,NA,NA,NA,NA
"2505","MLB_ARI_MIL_20110309",20110309,"ARI","MIL",8,11,1,NA,NA,NA,NA
