Date,Opponent,Event,FighterResult,TSL,TSA,SSL,SSA,TSL-TSA,KD,%BODY,%HEAD,%LEG,OpponentID,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADTB,ADHG,ADTM,ADTS,SM,FighterID,SDBL,SDBA,SDHL,SDHA,SDLL,SDLA,Name,Time,Decision,Rnd,stats_missing,FighterName,OpponentName,fighter_is_A,FighterNameClean,OpponentNameClean,FighterOpen,OpponentOpen,FighterCloseLeft,FighterCloseRight,OpponentCloseLeft,OpponentCloseRight
2007-08-25,Kendall Grove,UFC 74,W,32.0,44.0,20.0,31.0,0.7273000000000001,1.0,0.5,0.6,1.0,2335737/kendall-grove,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2335448/patrick-cote,0.0,1.0,3.0,9.0,4.0,4.0,patrick cote,4:45,KO/TKO,1,False,patrick cote,kendall grove,False,patrick cote,kendall grove,240.0,-320.0,215.0,215.0,-255.0,-255.0
2007-08-25,Ryan Jensen,UFC 74,W,12.0,20.0,10.0,18.0,0.6,0.0,1.0,0.12,0.89,2335483/ryan-jensen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2335449/thales-leites,0.0,0.0,1.0,8.0,8.0,9.0,thales leites,3:47,Submission,1,False,thales leites,ryan jensen,False,thales leites,ryan jensen,-240.0,180.0,-290.0,-290.0,245.0,245.0
2007-08-25,David Heath,UFC 74,W,126.0,175.0,60.0,95.0,0.72,0.0,1.0,0.56,1.0,2335627/david-heath,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.5,14.0,14.0,43.0,73.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2335476/renato-sobral,0.0,0.0,2.0,7.0,0.0,0.0,renato sobral,3:30,Submission,2,False,renato sobral,david heath,False,renato sobral,david heath,-300.0,220.0,-225.0,-225.0,185.0,185.0
2007-08-25,Josh Koscheck,UFC 74,W,118.0,145.0,38.0,61.0,0.8138,0.0,1.0,0.46,0.86,2335664/josh-koscheck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,10.0,18.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,5.0,2335659/georges-st-pierre,1.0,1.0,7.0,19.0,16.0,19.0,georges st-pierre,5:00,Decision - Unanimous,3,False,georges st-pierre,josh koscheck,False,georges stpierre,josh koscheck,-240.0,180.0,-230.0,-230.0,210.0,210.0
2007-08-25,Kurt Pellegrino,UFC 74,W,80.0,128.0,42.0,84.0,0.625,0.0,0.4,0.51,0.0,2335812/kurt-pellegrino,2.0,2.0,1.0,3.0,0.0,0.0,2.0,0.333,3.0,3.0,1.0,1.0,0.0,0.0,26.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2335672/joe-stevenson,0.0,3.0,13.0,35.0,0.0,0.0,joe stevenson,5:00,Decision - Unanimous,3,False,joe stevenson,kurt pellegrino,False,joe stevenson,kurt pellegrino,-175.0,135.0,-320.0,-320.0,260.0,260.0
2007-08-25,Marcus Aurelio,UFC 74,W,71.0,208.0,44.0,181.0,0.3413,2.0,0.46,0.17,0.85,2335683/marcus-aurelio,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335674/clay-guida,3.0,10.0,21.0,143.0,11.0,13.0,clay guida,5:00,Decision - Split,3,False,clay guida,marcus aurelio,False,clay guida,marcus aurelio,-120.0,-120.0,-125.0,-125.0,105.0,105.0
2007-08-25,Frank Mir,UFC 74,L,1.0,3.0,1.0,3.0,0.3333,0.0,0.0,0.0,1.0,2335301/frank-mir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335730/antoni-hardonk,0.0,0.0,0.0,2.0,1.0,1.0,antoni hardonk,1:17,Submission,1,False,antoni hardonk,frank mir,True,antoni hardonk,frank mir,-120.0,-120.0,145.0,145.0,-165.0,-165.0
2007-08-25,Roger Huerta,UFC 74,L,14.0,16.0,4.0,6.0,0.875,0.0,1.0,0.0,0.67,2335681/roger-huerta,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,2354194/alberto-crane,2.0,2.0,0.0,1.0,2.0,3.0,alberto crane,1:50,KO/TKO,3,False,alberto crane,roger huerta,True,alberto crane,roger huerta,325.0,-475.0,315.0,315.0,-380.0,-380.0
2007-09-08,Quinton Jackson,UFC 75,L,94.0,135.0,60.0,95.0,0.6962999999999999,0.0,0.9,0.41,0.95,2335470/quinton-jackson,9.0,10.0,10.0,19.0,16.0,16.0,1.0,0.0,3.0,8.0,0.0,0.38,8.0,8.0,5.0,9.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,2335497/dan-henderson,1.0,2.0,7.0,26.0,4.0,5.0,dan henderson,5:00,Decision - Unanimous,5,False,dan henderson,quinton jackson,True,dan henderson,quinton jackson,120.0,-150.0,-120.0,-120.0,100.0,100.0
2007-09-08,Matt Hamill,UFC 75,W,65.0,182.0,47.0,162.0,0.3571,0.0,1.0,0.23,1.0,2335527/matt-hamill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335602/michael-bisping,6.0,6.0,35.0,150.0,6.0,6.0,michael bisping,5:00,Decision - Split,3,False,michael bisping,matt hamill,True,michael bisping,matt hamill,-240.0,180.0,-250.0,-250.0,210.0,210.0
2007-09-08,Marcus Davis,UFC 75,L,26.0,41.0,16.0,30.0,0.6341,1.0,1.0,0.48,0.67,2335804/marcus-davis,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2335736/paul-taylor,2.0,2.0,2.0,10.0,2.0,3.0,paul taylor,4:14,Submission,1,False,paul taylor,marcus davis,False,paul taylor,marcus davis,170.0,-200.0,145.0,145.0,-165.0,-165.0
2007-09-08,Gleison Tibau,UFC 75,L,20.0,37.0,18.0,34.0,0.5405,0.0,0.75,0.35,1.0,2354336/gleison-tibau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335782/terry-etim,3.0,4.0,8.0,23.0,7.0,7.0,terry etim,5:00,Decision - Unanimous,3,False,terry etim,gleison tibau,False,terry etim,gleison tibau,155.0,-175.0,145.0,145.0,-165.0,-165.0
2007-09-08,Naoyuki Kotani,UFC 75,W,47.0,87.0,28.0,66.0,0.5402,1.0,0.5,0.42,0.4,2951282/naoyuki-kotani,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2335797/dennis-siver,1.0,2.0,7.0,20.0,2.0,5.0,dennis siver,2:04,KO/TKO,2,False,dennis siver,naoyuki kotani,False,dennis siver,naoyuki kotani,175.0,-210.0,180.0,180.0,-220.0,-220.0
2007-09-08,Anthony Torres,UFC 75,W,46.0,76.0,38.0,67.0,0.6053000000000001,2.0,1.0,0.52,1.0,2556802/anthony-torres,3.0,3.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335823/jess-liaudin,0.0,0.0,14.0,37.0,4.0,4.0,jess liaudin,4:10,KO/TKO,1,False,jess liaudin,anthony torres,False,jess liaudin,anthony torres,-110.0,-110.0,-115.0,-115.0,-105.0,-105.0
2007-09-19,Nate Quarry,UFC Fight Night,L,70.0,132.0,53.0,114.0,0.5303,1.0,0.73,0.42,1.0,2335773/nate-quarry,3.0,3.0,7.0,10.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335480/pete-sell,4.0,7.0,34.0,89.0,2.0,2.0,pete sell,0:44,KO/TKO,3,False,pete sell,nate quarry,False,pete sell,nate quarry,253.0,-360.0,180.0,180.0,-220.0,-220.0
2007-09-19,Terry Martin,UFC Fight Night,W,208.0,256.0,53.0,101.0,0.8125,1.0,0.85,0.35,0.9,2431250/terry-martin,8.0,9.0,11.0,21.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2335513/chris-leben,3.0,4.0,11.0,45.0,8.0,10.0,chris leben,3:56,KO/TKO,3,False,chris leben,terry martin,False,chris leben,terry martin,160.0,-200.0,200.0,200.0,-240.0,-240.0
2007-09-19,Kuniyoshi Hironaka,UFC Fight Night,W,50.0,101.0,48.0,97.0,0.495,0.0,0.67,0.39,0.82,2335827/kuniyoshi-hironaka,1.0,1.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2335660/thiago-alves,1.0,2.0,9.0,44.0,18.0,22.0,thiago alves,4:04,KO/TKO,2,False,thiago alves,kuniyoshi hironaka,False,thiago alves,kuniyoshi hironaka,-165.0,125.0,-230.0,-230.0,190.0,190.0
2007-09-19,Din Thomas,UFC Fight Night,W,50.0,82.0,27.0,57.0,0.6098,0.0,1.0,0.42,0.67,2335704/din-thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,3.0,19.0,37.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2335675/kenny-florian,1.0,1.0,2.0,13.0,2.0,3.0,kenny florian,4:31,Submission,1,False,kenny florian,din thomas,False,kenny florian,din thomas,-175.0,155.0,-160.0,-160.0,140.0,140.0
2007-09-19,Junior Assuncao,UFC Fight Night,W,25.0,28.0,10.0,11.0,0.8929,1.0,0.0,0.86,1.0,2354220/junior-assuncao,0.0,0.0,5.0,6.0,4.0,4.0,0.0,0.333,1.0,3.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2335679/nate-diaz,0.0,0.0,1.0,1.0,0.0,0.0,nate diaz,4:10,Submission,1,False,nate diaz,junior assuncao,False,nate diaz,junior assuncao,-210.0,175.0,-210.0,-210.0,175.0,175.0
2007-09-19,Joe Veres,UFC Fight Night,W,3.0,4.0,3.0,4.0,0.75,1.0,0.0,0.75,0.0,2354579/joe-veres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335689/gray-maynard,0.0,0.0,1.0,1.0,0.0,0.0,gray maynard,0:09,KO/TKO,1,False,gray maynard,joe veres,False,gray maynard,joe veres,-300.0,250.0,-280.0,-280.0,240.0,240.0
