missing,Date,FighterName,OpponentName,wager_A,wager_B,opener_A,opener_B,bet365_A,bet365_B,888sport_A,888sport_B,unibet_A,unibet_B,betway_A,betway_B,FighterOpener,Opponent,Res.,Decision,Rnd,Time,Event,OpponentID,FighterID
False,2018-05-12,raquel pennington,amanda nunes,49%,51%,+400,-515,+600,-1000,-,-,+525,-835,+450,-649,0.19278996865203762,,,,,,,,
False,2018-05-19,felipe silva,claudio puelles,55%,45%,-300,+250,-333,+250,-335,+230,-335,+230,-350,+240,0.7241379310344829,,,,,,,,
False,2018-05-19,frankie saenz,henry briones,50%,50%,-275,+235,-350,+275,-335,+230,-335,+230,-350,+260,0.7107039537126325,,,,,,,,
False,2018-05-19,brandon davis,enrique barzola,51%,49%,+165,-190,+188,-225,+165,-230,+165,-230,+175,-225,0.36546943919344677,,,,,,,,
False,2018-05-19,humberto bandenay,gabriel benitez,43%,57%,+150,-175,+140,-170,+160,-230,+135,-182,+138,-182,0.3859649122807018,,,,,,,,
False,2018-05-19,syuri kondo,poliana botelho,50%,50%,+175,-205,+150,-175,+135,-182,+135,-182,+140,-175,0.3510791366906475,,,,,,,,
False,2018-05-19,alexandre pantoja,brandon moreno,48%,52%,-110,-110,-110,-110,-130,+100,-130,+100,-125,+100,0.5,,,,,,,,
False,2018-05-19,michel prazeres,zak cummings,51%,49%,+155,-180,+163,-188,+125,-167,+145,-200,+150,-188,0.37889039242219213,,,,,,,,
False,2018-05-19,chad laprise,vicente luque,51%,49%,+235,-275,+188,-225,+160,-230,+160,-230,+175,-225,0.2892960462873674,,,,,,,,
False,2018-05-19,andrea lee,veronica macedo,42%,58%,-350,+285,-350,+275,-335,+230,-335,+230,-300,+230,0.7496522948539639,,,,,,,,
False,2018-05-19,guido cannetti,diego rivas,51%,49%,+155,-180,+140,-170,+135,-182,+135,-182,+140,-188,0.37889039242219213,,,,,,,,
False,2018-05-19,dominick reyes,jared cannonier,41%,59%,-165,+145,-220,+180,-278,+200,-278,+200,-250,+200,0.6040343668285393,,,,,,,,
False,2018-05-19,kamaru usman,demian maia,43%,57%,-400,+330,-600,+450,-835,+475,-670,+435,-649,+450,0.7747747747747749,,,,,,,,
False,2018-05-19,tatiana suarez,alexa grasso,34%,66%,-110,-110,-600,+450,-835,+450,-835,+450,-800,+500,0.5,,,,,,,,
False,2018-05-27,trevor smith,elias theodorou,62%,38%,+295,-360,+300,-400,-,-,+300,-435,+333,-450,0.2444208289054198,,,,,,,,
False,2018-05-27,molly mccann,gillian robertson,7%,93%,-230,+195,-170,+140,-,-,-190,+145,-175,+140,0.6727813584531482,,,,,,,,
False,2018-05-27,carlo pedersoli,bradley scott,49%,51%,-151,+131,-150,+125,-,-,-155,+115,-150,+120,0.5815341524816192,,,,,,,,
False,2018-05-27,lina lansberg,gina mazany,62%,38%,-145,+125,+125,-150,-,-,+110,-150,+110,-138,0.5711159737417943,,,,,,,,
False,2018-05-27,tom breese,daniel kelly,38%,62%,-350,+285,-350,+275,-,-,-400,+275,-400,+255,0.7496522948539639,,,,,,,,
False,2018-05-27,darren stewart,eric spicely,61%,39%,+150,-175,+138,-163,-,-,+135,-177,+130,-182,0.3859649122807018,,,,,,,,
False,2018-05-27,nordine taleb,claudio silva,48%,52%,-260,+220,-400,+300,-,-,-400,+275,-350,+260,0.6979865771812079,,,,,,,,
False,2018-05-27,makwan amirkhani,jason knight,53%,47%,+145,-170,+150,-175,-,-,+135,-177,+130,-163,0.39329934450109244,,,,,,,,
False,2018-05-27,mads burnell,arnold allen,38%,62%,+210,-250,+200,-250,-,-,+180,-240,+200,-250,0.31111111111111106,,,,,,,,
False,2018-05-27,craig white,neil magny,63%,37%,+425,-540,+500,-700,-,-,+425,-670,+400,-599,0.1841726618705036,,,,,,,,
False,2018-05-27,darren till,stephen thompson,46%,54%,+145,-170,+130,-160,+150,-200,+125,-155,+110,-138,0.39329934450109244,,,,,,,,
True,2018-06-01,jodie esquibel,jessica aguilar,,,,,,,,,,,,,,,,,,,,,
False,2018-06-01,jose torres,jarred brooks,53%,47%,-190,+165,-163,+138,-190,+140,-190,+140,-163,+125,0.6345305608065531,,,,,,,,
False,2018-06-01,nathaniel wood,johnny eduardo,41%,59%,-205,+175,-275,+225,-315,+220,-315,+220,-300,+220,0.6489208633093525,,,,,,,,
False,2018-06-01,gleison tibau,desmond green,52%,48%,+240,-280,+275,-350,+220,-305,+220,-305,+220,-300,0.2852852852852853,,,,,,,,
False,2018-06-01,chance rencountre,belal muhammad,53%,47%,+295,-360,+350,-450,+300,-455,+300,-455,+300,-450,0.2444208289054198,,,,,,,,
False,2018-06-01,nik lentz,david teymur,44%,56%,+185,-220,+250,-333,+230,-335,+230,-335,+220,-300,0.337909186906019,,,,,,,,
False,2018-06-01,lauren murphy,sijara eubanks,55%,45%,+125,-145,+163,-188,+150,-195,+150,-195,+135,-175,0.42888402625820565,,,,,,,,
False,2018-06-01,sam alvey,gian villante,46%,54%,-135,+115,-160,+130,-148,+110,-148,+110,-150,+115,0.552594002855783,,,,,,,,
False,2018-06-01,daniel teymur,julio arce,43%,57%,+125,-145,+150,-175,+150,-205,+135,-182,+140,-188,0.42888402625820565,,,,,,,,
False,2018-06-01,ben saunders,jake ellenberger,52%,48%,+145,-165,+150,-175,+145,-195,+145,-195,+140,-188,0.39596563317146055,,,,,,,,
False,2018-06-01,daniel spitz,walt harris,47%,53%,+215,-255,+225,-275,+160,-220,+160,-220,+220,-333,0.30649687027843725,,,,,,,,
False,2018-06-01,marlon moraes,jimmie rivera,48%,52%,+100,-120,+100,-125,-112,-112,-112,-112,-110,-110,0.4782608695652174,,,,,,,,
False,2018-06-01,vinc pichel,gregor gillespie,61%,39%,+350,-450,+380,-500,+315,-500,+315,-500,+300,-450,0.21359223300970873,,,,,,,,
True,2018-06-09,yoel romero,robert whittaker,,,,,,,,,,,,,,,,,,,,,
False,2018-06-09,dan ige,mike santiago,43%,57%,-150,+130,-125,+100,-134,+105,-134,+105,-125,+100,0.5798319327731092,,,,,,,,
False,2018-06-09,charles oliveira,clay guida,51%,49%,-153,+133,-150,+125,-143,+112,-143,+112,-138,+110,0.584898849858078,,,,,,,,
False,2018-06-09,sergio pettis,joseph benavidez,44%,56%,+185,-220,+170,-200,+175,-225,+175,-225,+175,-225,0.337909186906019,,,,,,,,
False,2018-06-09,anthony smith,rashad evans,45%,55%,-280,+240,-250,+200,-240,+180,-240,+180,-250,+200,0.7147147147147147,,,,,,,,
False,2018-06-09,chris de la rocha,rashad coulter,41%,59%,+150,-175,+100,-125,+110,-139,+110,-139,+110,-138,0.3859649122807018,,,,,,,,
False,2018-06-09,mirsad bektic,ricardo lamas,39%,61%,-195,+170,-250,+200,-250,+195,-250,+195,-250,+200,0.6409007912355448,,,,,,,,
False,2018-06-09,carla esparza,claudia gadelha,69%,31%,+340,-410,+300,-400,+200,-265,+200,-265,+230,-300,0.22039757994814171,,,,,,,,
False,2018-06-09,curtis blaydes,alistair overeem,44%,56%,-147,+127,-200,+170,-200,+155,-200,+155,-188,+150,0.5746439580499061,,,,,,,,
False,2018-06-09,mike jackson,cm punk,61%,39%,-220,+185,-200,+170,-200,+155,-200,+155,-200,+163,0.662090813093981,,,,,,,,
False,2018-06-09,tai tuivasa,andrei arlovski,37%,63%,-260,+220,-250,+200,-225,+175,-225,+175,-250,+200,0.6979865771812079,,,,,,,,
False,2018-06-09,megan anderson,holly holm,57%,43%,+175,-205,+138,-163,+125,-162,+125,-162,+140,-175,0.3510791366906475,,,,,,,,
False,2018-06-09,colby covington,rafael dos anjos,52%,48%,+105,-125,-125,+100,-143,+115,-143,+115,-138,+110,0.4675324675324675,,,,,,,,
False,2018-06-12,will santiago jr.,kevin holland,66%,34%,+485,-660,+550,-800,+500,-1000,+500,-1000,+600,-1000,0.16446656567842458,,,,,,,,
False,2018-06-12,rico disciullo,montel jackson,61%,39%,+240,-280,+225,-275,+200,-286,+200,-286,+225,-300,0.2852852852852853,,,,,,,,
False,2018-06-12,austen lane,greg hardy,52%,48%,+120,-140,+110,-138,-117,-117,-117,-117,+110,-138,0.43795620437956206,,,,,,,,
False,2018-06-12,sean lally,chris curtis,65%,35%,+350,-450,+380,-500,+400,-670,+400,-670,+400,-549,0.21359223300970873,,,,,,,,
False,2018-06-12,dashawn boatwright,alonzo menifield,63%,37%,+355,-425,+380,-500,+350,-590,+350,-590,+400,-549,0.21352313167259787,,,,,,,,
False,2018-06-19,tyler hill,dwight grant,63%,37%,+300,-365,+300,-400,+270,-400,+270,-400,+260,-400,0.24155844155844156,,,,,,,,
False,2018-06-19,emiliano sordi,ryan spann,69%,31%,+315,-380,+450,-600,+350,-560,+350,-560,+350,-549,0.2333495381623724,,,,,,,,
False,2018-06-19,austin springer,giga chikadze,57%,43%,+185,-220,+250,-333,+270,-400,+270,-400,+225,-333,0.337909186906019,,,,,,,,
False,2018-06-19,jordan wright,anthony hernandez,66%,34%,+165,-190,+200,-250,+205,-286,+205,-286,+200,-275,0.36546943919344677,,,,,,,,
False,2018-06-19,yazan hajeh,matt sayles,61%,39%,+240,-280,+275,-350,+230,-335,+230,-335,+240,-350,0.2852852852852853,,,,,,,,
False,2018-06-23,ulka sasaki,jenel lausa,67%,33%,-265,+225,-275,+225,-315,+240,-315,+240,-275,+210,0.7023445463812437,,,,,,,,
False,2018-06-23,naoki inoue,matt schnell,42%,58%,-215,+185,-188,+163,-195,+155,-195,+155,-188,+150,0.6604688763136621,,,,,,,,
False,2018-06-23,jake matthews,shinsho anzai,36%,64%,-375,+310,-550,+400,-670,+450,-670,+450,-549,+350,0.7639751552795031,,,,,,,,
False,2018-06-23,hector aldana,song kenan,54%,46%,+225,-265,+225,-275,+240,-335,+215,-278,+210,-275,0.2976554536187564,,,,,,,,
False,2018-06-23,shane young,rolando dy,46%,54%,-145,+125,-170,+140,-167,+135,-167,+135,-163,+130,0.5711159737417943,,,,,,,,
False,2018-06-23,song yadong,felipe arantes,44%,56%,-115,-105,-125,+100,-117,-106,-117,-106,-110,-110,0.5108342361863488,,,,,,,,
False,2018-06-23,daichi abe,li jingliang,52%,48%,+330,-400,+200,-250,+225,-286,+225,-286,+200,-250,0.22522522522522523,,,,,,,,
False,2018-06-23,jessica eye,jessica-rose clark,53%,47%,+135,-155,+130,-160,+135,-167,+135,-167,+130,-163,0.4117884537747275,,,,,,,,
False,2018-06-23,tyson pedro,ovince saint preux,46%,54%,-155,+135,-150,+125,-148,+120,-148,+120,-138,+110,0.5882115462252725,,,,,,,,
False,2018-06-23,leon edwards,donald cerrone,33%,67%,-175,+150,-220,+180,-220,+175,-220,+175,-250,+200,0.6140350877192983,,,,,,,,
False,2018-06-26,jordan williams,tim caron,56%,44%,-105,-115,-188,+150,-177,+125,-177,+125,-188,+150,0.4891657638136511,,,,,,,,
False,2018-06-26,jamall emmers,julian erosa,59%,41%,-250,+210,-275,+225,-335,+220,-335,+220,-275,+210,0.6888888888888889,,,,,,,,
False,2018-06-26,josh parisian,greg rebello,57%,43%,+345,-415,+380,-500,+350,-625,+350,-625,+333,-450,0.2180586429554356,,,,,,,,
False,2018-06-26,te edwards,austin tweedy,58%,42%,+100,-120,-125,+100,-134,-106,-134,-106,-125,+105,0.4782608695652174,,,,,,,,
False,2018-06-26,jaimelene nievera,antonina shevchenko,53%,47%,+725,-1050,+700,-1200,+550,-1250,+550,-1250,+600,-1000,0.11719745222929938,,,,,,,,
False,2018-07-06,oskar piechota,gerald meerschaert,53%,47%,-205,+175,-250,+200,-250,+195,-250,+195,-225,+175,0.6489208633093525,,,,,,,,
False,2018-07-06,rachael ostovich,montana de la rosa,41%,59%,-,-,+125,-150,+140,-177,+140,-177,+140,-175,,,,,,,,,
False,2018-07-06,steven peterson,matt bessette,49%,51%,+125,-145,+110,-138,+120,-148,+120,-148,+105,-138,0.42888402625820565,,,,,,,,
False,2018-07-06,barb honchak,roxanne modafferi,62%,38%,-160,+140,-143,+120,-143,+115,-143,+115,-138,+110,0.5962732919254659,,,,,,,,
False,2018-07-06,julian marquez,alessio di chirico,57%,43%,-,-,-138,+110,-155,+125,-155,+125,-150,+120,,,,,,,,,
False,2018-07-06,israel adesanya,brad tavares,49%,51%,-,-,-110,-110,-121,-104,-121,-104,-120,+100,,,,,,,,,
False,2018-07-06,martin bravo,alex caceres,39%,61%,-,-,+100,-125,+110,-136,+110,-136,+110,-138,,,,,,,,,
False,2018-07-07,emily whitmire,jamie moyle,42%,58%,+250,-300,+150,-200,+170,-225,+170,-225,+140,-175,0.27586206896551724,,,,,,,,
False,2018-07-07,gilbert burns,dan hooker,46%,54%,+143,-163,+110,-138,+105,-130,+105,-130,+100,-125,0.39903503315176986,,,,,,,,
False,2018-07-07,max griffin,curtis millender,45%,55%,+143,-163,+138,-163,+135,-167,+135,-167,+130,-163,0.39903503315176986,,,,,,,,
False,2018-07-07,drakkar klose,lando vannata,65%,35%,+145,-170,+163,-188,+150,-195,+150,-195,+150,-188,0.39329934450109244,,,,,,,,
False,2018-07-07,rob font,raphael assuncao,44%,56%,+145,-170,+110,-138,+125,-155,+125,-155,+120,-150,0.39329934450109244,,,,,,,,
False,2018-07-07,paulo costa,uriah hall,52%,48%,-450,+350,-333,+250,-335,+260,-335,+260,-350,+260,0.7864077669902912,,,,,,,,
False,2018-07-07,khalil rountree jr.,gokhan saki,36%,64%,+155,-180,+125,-150,+115,-148,+115,-148,+120,-150,0.37889039242219213,,,,,,,,
False,2018-07-07,anthony pettis,michael chiesa,49%,51%,+130,-150,+150,-175,+150,-186,+150,-186,+130,-163,0.42016806722689076,,,,,,,,
False,2018-07-07,mike perry,paul felder,45%,55%,-135,+115,+140,-170,+135,-167,+120,-148,+120,-150,0.552594002855783,,,,,,,,
False,2018-07-07,derrick lewis,francis ngannou,59%,41%,+260,-310,+275,-350,+255,-335,+255,-335,+260,-350,0.26867627785058973,,,,,,,,
False,2018-07-10,max mustaki,jalin turner,64%,36%,+280,-340,+380,-500,+315,-500,+315,-500,+300,-400,0.2540415704387991,,,,,,,,
False,2018-07-10,rilley dutro,jordan espinosa,46%,54%,-150,+130,-143,+120,-155,+115,-155,+115,-150,+120,0.5798319327731092,,,,,,,,
False,2018-07-10,ricky palacios,toby misech,54%,46%,-175,+150,-170,+140,-143,+105,-143,+105,-138,+110,0.6140350877192983,,,,,,,,
False,2018-07-10,alton cunningham,bevon lewis,58%,42%,+115,-135,+150,-175,+130,-177,+130,-177,+140,-175,0.447405997144217,,,,,,,,
False,2018-07-10,joey gomez,kevin aguilar,55%,45%,+250,-300,+350,-450,+275,-400,+275,-400,+260,-350,0.27586206896551724,,,,,,,,
True,2018-07-14,raoni barcelos,kurt holobaugh,,,,,,,,,,,,,,,,,,,,,
False,2018-07-13,ernest james,valentin moldavsky,57%,43%,+420,-550,-,-,+265,-375,+265,-375,+350,-549,0.18518518518518517,,,,,,,,
False,2018-07-13,leonardo leite,chris honeycutt,47%,53%,+145,-170,-,-,+135,-182,+135,-182,+130,-175,0.39329934450109244,,,,,,,,
False,2018-07-13,michael mcdonald,eduardo dantas,60%,40%,+155,-180,-,-,+155,-210,+155,-210,+140,-188,0.37889039242219213,,,,,,,,
False,2018-07-13,talita nogueira,julia budd,34%,66%,+180,-210,-,-,+120,-162,+120,-162,-,-,0.3452115812917595,,,,,,,,
False,2018-07-14,daniel weichel,patricio freire,59%,41%,+215,-255,-,-,+175,-240,+175,-240,+175,-250,0.30649687027843725,,,,,,,,
False,2018-07-14,elias garcia,mark de la rosa,50%,50%,-110,-110,-150,+125,-143,+110,-143,+110,-138,+110,0.5,,,,,,,,
False,2018-07-14,jodie esquibel,jessica aguilar,42%,58%,+110,-130,-160,+130,-162,+120,-162,+120,-163,+125,0.4572564612326044,,,,,,,,
False,2018-07-14,jennifer maia,liz carmouche,43%,57%,-110,-110,+100,-125,+110,-148,+110,-148,+110,-138,0.5,,,,,,,,
False,2018-07-14,niko price,randy brown,62%,38%,+105,-125,+110,-138,+104,-134,+104,-134,-111,-125,0.4675324675324675,,,,,,,,
False,2018-07-14,said nurmagomedov,justin scoggins,35%,65%,-150,+130,-125,+100,-130,+100,-130,+100,-150,+120,0.5798319327731092,,,,,,,,
False,2018-07-14,alexander volkanovski,darren elkins,32%,68%,-325,+275,-250,+200,-275,+200,-275,+200,-275,+220,0.7414448669201521,,,,,,,,
False,2018-07-14,alejandro perez,eddie wineland,53%,47%,-255,+215,-175,+150,-200,+150,-200,+150,-188,+150,0.6935031297215627,,,,,,,,
False,2018-07-14,marion reneau,cat zingano,44%,56%,-115,-105,-125,+100,-125,-105,-125,-105,-120,-110,0.5108342361863488,,,,,,,,
False,2018-07-14,chad mendes,myles jury,54%,46%,-250,+210,-138,+110,-143,+115,-143,+115,-150,+120,0.6888888888888889,,,,,,,,
False,2018-07-14,zak ottow,sage northcutt,61%,39%,+122,-142,+120,-143,+110,-143,+110,-143,+110,-138,0.43428325317636923,,,,,,,,
False,2018-07-14,ricky glenn,dennis bermudez,66%,34%,+235,-275,+163,-188,+165,-225,+165,-225,+150,-188,0.2892960462873674,,,,,,,,
False,2018-07-14,blagoy ivanov,junior dos santos,41%,59%,+145,-170,+163,-188,+145,-182,+145,-182,+138,-175,0.39329934450109244,,,,,,,,
False,2018-07-14,ricky glenn,dennis bermudez,66%,34%,+235,-275,+163,-188,+165,-225,+165,-225,+150,-188,0.2892960462873674,,,,,,,,
False,2018-07-14,blagoy ivanov,junior dos santos,41%,59%,+145,-170,+163,-188,+145,-182,+145,-182,+138,-175,0.39329934450109244,,,,,,,,
False,2018-07-17,antonio jones,edmen shahbazyan,60%,40%,+190,-225,+200,-250,-,-,+185,-265,+163,-225,0.33248081841432225,,,,,,,,
False,2018-07-17,angelo trevino,austin vanderford,54%,46%,+145,-170,+100,-125,-,-,-106,-125,+110,-150,0.39329934450109244,,,,,,,,
False,2018-07-17,anthony adams,chibwikem onyenegecha,42%,58%,+250,-300,-,-,-,-,+130,-177,-,-,0.27586206896551724,,,,,,,,
False,2018-07-17,jamie colleen,maycee barber,63%,37%,+350,-450,+450,-600,-,-,+375,-670,+300,-500,0.21359223300970873,,,,,,,,
False,2018-07-17,domingo pilarte,vince morales,52%,48%,+220,-260,+200,-275,-,-,+200,-286,+188,-275,0.3020134228187919,,,,,,,,
False,2018-07-22,liu pingyuan,damian stasiak,41%,59%,-110,-110,-110,-110,-112,-118,-112,-118,-105,-120,0.5,,,,,,,,
False,2018-07-22,darko stošić,jeremy kimball,48%,52%,-235,+200,-275,+225,-305,+215,-305,+215,-275,+200,0.6778846153846154,,,,,,,,
False,2018-07-22,manny bermudez,davey grant,41%,59%,-250,+210,-275,+225,-335,+235,-335,+235,-250,+188,0.6888888888888889,,,,,,,,
False,2018-07-22,aleksandar rakic,justin ledet,47%,53%,+145,-170,+100,-125,-118,-109,-118,-109,+100,-125,0.39329934450109244,,,,,,,,
False,2018-07-22,nad narimani,khalid taha,47%,53%,-250,+210,-210,+175,-240,+175,-240,+175,-275,+210,0.6888888888888889,,,,,,,,
False,2018-07-22,bartosz fabinski,emil meek,51%,49%,+150,-175,+125,-150,+130,-167,+130,-167,+130,-163,0.3859649122807018,,,,,,,,
False,2018-07-22,damir hadzovic,nick hein,54%,46%,+160,-185,+125,-150,+135,-177,+135,-177,+138,-175,0.3720626631853786,,,,,,,,
False,2018-07-22,marc diakiese,nasrat haqparast,30%,70%,-200,+170,-170,+140,-182,+140,-182,+140,-188,+140,0.6428571428571429,,,,,,,,
False,2018-07-22,david zawada,danny roberts,65%,35%,+280,-340,+180,-220,+182,-235,+182,-235,+250,-333,0.2540415704387991,,,,,,,,
False,2018-07-22,stefan struve,marcin tybura,51%,49%,+210,-250,+180,-220,+180,-250,+180,-250,+188,-250,0.31111111111111106,,,,,,,,
False,2018-07-22,abu azaitar,vitor miranda,64%,36%,-185,+160,-225,+188,-210,+160,-210,+160,-200,+163,0.6279373368146214,,,,,,,,
False,2018-07-22,corey anderson,glover teixeira,46%,54%,+165,-190,+100,-125,+105,-134,+105,-134,+110,-138,0.36546943919344677,,,,,,,,
False,2018-07-22,anthony smith,mauricio rua,48%,52%,-235,+200,-163,+138,-167,+130,-167,+130,-200,+163,0.6778846153846154,,,,,,,,
False,2018-07-24,alexander munoz,nick newell,40%,60%,+145,-170,+100,-125,-106,-125,-106,-125,-110,-110,0.39329934450109244,,,,,,,,
False,2018-07-24,canaan kawaihae,chase hooper,58%,42%,+225,-265,+125,-150,+130,-177,+130,-177,+130,-163,0.2976554536187564,,,,,,,,
False,2018-07-24,josh appelt,jeff hughes,53%,47%,+150,-175,+240,-300,+210,-305,+210,-305,+210,-275,0.3859649122807018,,,,,,,,
False,2018-07-24,sodiq yusuff,mike davis,65%,35%,+180,-210,+240,-333,+215,-315,+215,-315,+210,-275,0.3452115812917595,,,,,,,,
False,2018-07-24,chris birchler,jimmy crute,56%,44%,+310,-375,+500,-700,+390,-670,+390,-670,+350,-500,0.2360248447204969,,,,,,,,
False,2018-07-28,alvaro herrera,devin powell,46%,54%,+105,-125,-110,-110,-104,-125,-104,-125,+105,-138,0.4675324675324675,,,,,,,,
False,2018-07-28,nina nunes,randa markos,54%,46%,+105,-125,-138,+110,-143,+110,-143,+110,-150,+120,0.4675324675324675,,,,,,,,
False,2018-07-28,matheus nicolau,dustin ortiz,46%,54%,-240,+205,-175,+150,-220,+165,-220,+165,-188,+150,0.6828358208955224,,,,,,,,
False,2018-07-28,ross pearson,john makdessi,52%,48%,+175,-205,+163,-188,+185,-250,+185,-250,+163,-200,0.3510791366906475,,,,,,,,
False,2018-07-28,katlyn chookagian,alexis davis,55%,45%,-140,+120,-160,+130,-162,+125,-162,+125,-163,+130,0.562043795620438,,,,,,,,
False,2018-07-28,ion cutelaba,gadzhimurad antigulov,46%,54%,-120,+100,-138,+110,-143,+115,-143,+115,-125,+100,0.5217391304347826,,,,,,,,
False,2018-07-28,islam makhachev,kajan johnson,37%,63%,-525,+410,-600,+450,-670,+450,-670,+450,-699,+450,0.8107494322482967,,,,,,,,
False,2018-07-28,austin arnett,hakeem dawodu,55%,45%,+275,-325,+350,-450,+370,-530,+370,-530,+300,-400,0.25855513307984795,,,,,,,,
False,2018-07-28,alex morono,jordan mein,63%,37%,-130,+110,+130,-160,+110,-136,+110,-136,+110,-138,0.5427435387673957,,,,,,,,
False,2018-07-28,olivier aubin-mercier,alexander hernandez,52%,48%,-123,+103,-125,+100,-130,+105,-130,+105,-115,-110,0.5282320336795786,,,,,,,,
False,2018-07-28,tecia torres,joanna jedrzejczyk,41%,59%,+250,-300,+250,-333,+230,-295,+230,-295,+225,-300,0.27586206896551724,,,,,,,,
False,2018-07-28,jeremy stephens,jose aldo,46%,54%,-105,-115,-125,+100,-125,-103,-125,-103,-120,-105,0.4891657638136511,,,,,,,,
False,2018-07-28,dustin poirier,eddie alvarez,34%,66%,-165,+145,-175,+150,-182,+145,-182,+145,-175,+138,0.6040343668285393,,,,,,,,
False,2018-07-31,shawn teed,juan adams,69%,31%,+195,-230,+300,-400,+295,-455,+295,-455,+300,-400,0.32721864154685176,,,,,,,,
False,2018-07-31,jordan griffin,maurice mitchell,61%,39%,-150,+130,-210,+175,-225,+160,-225,+160,-200,+160,0.5798319327731092,,,,,,,,
False,2018-07-31,justin sumter,ian heinisch,59%,41%,+355,-425,+300,-400,+350,-590,+350,-590,+333,-450,0.21352313167259787,,,,,,,,
False,2018-07-31,garrett gross,roosevelt roberts,67%,33%,+325,-390,+300,-400,+300,-455,+300,-455,+300,-400,0.22817229336437717,,,,,,,,
False,2018-07-31,mitchell sipe,don'tale mayes,37%,63%,-395,+330,-400,+300,-385,+265,-385,+265,-350,+260,0.7743332573512651,,,,,,,,
False,2018-08-04,wuliji buren,marlon vera,46%,54%,+320,-385,+350,-450,+360,-500,+360,-500,+400,-549,0.230732635585157,,,,,,,,
False,2018-08-04,zhang weili,danielle taylor,48%,52%,-235,+200,-300,+240,-305,+235,-265,+205,-300,+230,0.6778846153846154,,,,,,,,
False,2018-08-04,jose torres,alex perez,58%,42%,+125,-145,+110,-138,+120,-150,+120,-150,+120,-150,0.42888402625820565,,,,,,,,
False,2018-08-04,sheymon moraes,matt sayles,45%,55%,+110,-130,+110,-138,+115,-143,+115,-143,-105,-120,0.4572564612326044,,,,,,,,
False,2018-08-04,kyung ho kang,ricardo ramos,63%,37%,+205,-240,+200,-250,+210,-265,+210,-265,+188,-250,0.3171641791044776,,,,,,,,
False,2018-08-04,montel jackson,ricky simon,46%,54%,+105,-125,-125,+100,-122,-103,-122,-103,-120,-105,0.4675324675324675,,,,,,,,
False,2018-08-04,brett johns,pedro munhoz,48%,52%,+225,-265,+170,-200,+160,-200,+160,-200,+163,-210,0.2976554536187564,,,,,,,,
False,2018-08-04,kevin holland,thiago santos,69%,31%,+305,-370,+300,-400,+255,-335,+255,-335,+250,-333,0.238760477520955,,,,,,,,
False,2018-08-04,jj aldrich,polyana viana,61%,39%,+250,-300,+130,-160,+125,-155,+125,-155,+120,-150,0.27586206896551724,,,,,,,,
False,2018-08-04,renato moicano,cub swanson,39%,61%,-440,+370,-333,+250,-305,+240,-305,+240,-333,+250,0.7929447852760736,,,,,,,,
False,2018-08-04,henry cejudo,demetrious johnson,61%,39%,+420,-550,+380,-500,+350,-455,+360,-500,+350,-500,0.18518518518518517,,,,,,,,
False,2018-08-04,cody garbrandt,tj dillashaw,55%,45%,+100,-120,+110,-138,+115,-139,+115,-139,+110,-138,0.4782608695652174,,,,,,,,
False,2018-08-07,dennis bryant,kennedy nzechukwu,67%,33%,+450,-600,+500,-700,+425,-715,+425,-715,+425,-649,0.17500000000000002,,,,,,,,
False,2018-08-07,alex gilpin,marty coughran,45%,55%,-300,+250,-275,+225,-315,+220,-315,+220,-275,+210,0.7241379310344829,,,,,,,,
False,2018-08-07,devonte smith,joe lowry,57%,43%,+135,-155,+125,-150,+120,-159,+120,-159,+138,-175,0.4117884537747275,,,,,,,,
False,2018-08-07,jacob kilburn,bobby moffett,62%,38%,+330,-400,+400,-550,+350,-560,+350,-560,+350,-500,0.22522522522522523,,,,,,,,
False,2018-08-07,tebaris gordon,greg hardy,54%,46%,+450,-600,+500,-700,+435,-715,+435,-715,+500,-800,0.17500000000000002,,,,,,,,
False,2018-08-25,luke sanders,rani yahya,53%,47%,+100,-120,+100,-125,+100,-124,+100,-124,-105,-120,0.4782608695652174,,,,,,,,
False,2018-08-25,jon tuck,drew dober,46%,54%,+160,-185,+200,-250,+170,-215,+170,-215,+175,-225,0.3720626631853786,,,,,,,,
False,2018-08-25,kalindra faria,joanne wood,49%,51%,+145,-170,+163,-188,+140,-177,+140,-177,+140,-175,0.39329934450109244,,,,,,,,
False,2018-08-25,george sullivan,mickey gall,54%,46%,+250,-300,+275,-350,+250,-335,+250,-335,+250,-333,0.27586206896551724,,,,,,,,
False,2018-08-25,markus perez,andrew sanchez,48%,52%,-125,+105,+110,-138,-106,-118,-106,-118,-105,-120,0.5324675324675325,,,,,,,,
False,2018-08-25,iuri alcantara,cory sandhagen,55%,45%,+210,-250,+188,-225,+190,-245,+190,-245,+200,-250,0.31111111111111106,,,,,,,,
False,2018-08-25,warlley alves,james krause,47%,53%,-500,+385,-400,+300,-400,+300,-400,+300,-400,+300,0.8016528925619835,,,,,,,,
False,2018-08-25,tim williams,eryk anders,69%,31%,+450,-600,+700,-1200,+600,-1000,+600,-1000,+500,-800,0.17500000000000002,,,,,,,,
False,2018-08-25,deiveson figueiredo,john moraga,46%,54%,-140,+120,-170,+140,-159,+128,-159,+128,-163,+130,0.562043795620438,,,,,,,,
False,2018-08-25,bryan barberena,jake ellenberger,33%,67%,-600,+450,-450,+350,-480,+350,-480,+350,-500,+350,0.8250000000000001,,,,,,,,
