missing,Date,FighterName,OpponentName,wager_A,wager_B,opener_A,opener_B,bet365_A,bet365_B,888sport_A,888sport_B,unibet_A,unibet_B,betway_A,betway_B,FighterOpener,Opponent,Res.,Decision,Rnd,Time,Event,OpponentID,FighterID
False,2017-05-13,jason knight,chas skelly,59%,41%,+105,-125,-110,-110,-,-,-,-,-,-,0.4675324675324675,,,,,,,,
False,2017-05-13,david branch,krzysztof jotko,47%,53%,+145,-170,+150,-175,-,-,-,-,-,-,0.39329934450109244,,,,,,,,
False,2017-05-13,yair rodriguez,frankie edgar,46%,54%,+145,-170,+100,-125,-,-,-,-,-,-,0.39329934450109244,,,,,,,,
False,2017-05-13,jorge masvidal,demian maia,55%,45%,+110,-130,-110,-110,-,-,-,-,-,-,0.4572564612326044,,,,,,,,
False,2017-05-13,jessica andrade,joanna jedrzejczyk,43%,57%,+150,-175,+163,-188,-,-,-,-,-,-,0.3859649122807018,,,,,,,,
False,2017-05-13,junior dos santos,stipe miocic,50%,50%,+141,-161,+150,-175,-,-,-,-,-,-,0.40215096839802167,,,,,,,,
True,2017-05-13,dustin poirier,eddie alvarez,,,,,,,,,,,,,,,,,,,,,
False,2017-05-28,damir hadzovic,marcin held,62%,38%,+275,-335,+250,-333,-,-,-,-,-,-,0.2572062084257206,,,,,,,,
False,2017-05-28,jessin ayari,darren till,47%,53%,+280,-340,+250,-333,-,-,-,-,-,-,0.2540415704387991,,,,,,,,
False,2017-05-28,bojan velickovic,nico musoke,48%,52%,+130,-150,+110,-138,-,-,-,-,-,-,0.42016806722689076,,,,,,,,
False,2017-05-28,reza madadi,joaquim silva,53%,47%,+160,-185,+138,-163,-,-,-,-,-,-,0.3720626631853786,,,,,,,,
False,2017-05-28,chris camozzi,trevor smith,54%,46%,-240,+205,-170,+140,-,-,-,-,-,-,0.6828358208955224,,,,,,,,
False,2017-05-28,damian stasiak,pedro munhoz,71%,29%,+475,-650,+550,-800,-,-,-,-,-,-,0.1671309192200557,,,,,,,,
False,2017-05-28,alex nicholson,jack hermansson,42%,58%,-110,-110,+140,-170,-,-,-,-,-,-,0.5,,,,,,,,
False,2017-05-28,nordine taleb,oliver enkamp,29%,71%,-500,+385,-400,+300,-,-,-,-,-,-,0.8016528925619835,,,,,,,,
False,2017-05-28,omari akhmedov,abdul razak alhassan,59%,41%,+225,-265,+200,-250,-,-,-,-,-,-,0.2976554536187564,,,,,,,,
False,2017-05-28,ben saunders,peter sobotta,52%,48%,-118,-102,+100,-125,-,-,-,-,-,-,0.5173641257162701,,,,,,,,
False,2017-05-28,misha cirkunov,volkan oezdemir,51%,49%,-400,+330,-400,+300,-,-,-,-,-,-,0.7747747747747749,,,,,,,,
False,2017-05-28,glover teixeira,alexander gustafsson,62%,38%,+170,-200,+240,-300,-,-,-,-,-,-,0.35714285714285715,,,,,,,,
False,2017-06-03,deiveson figueiredo,marco beltran,45%,55%,-160,+140,-160,+130,-150,+120,-,-,-,-,0.5962732919254659,,,,,,,,
False,2017-06-03,jim wallhead,luan chagas,55%,45%,+182,-212,+225,-275,+215,-278,-,-,-,-,0.342917436032709,,,,,,,,
False,2017-06-03,jamie moyle,viviane pereira,49%,51%,-105,-115,+150,-175,+130,-162,-,-,-,-,0.4891657638136511,,,,,,,,
False,2017-06-03,brian kelleher,iuri alcantara,42%,58%,+240,-280,+300,-400,+275,-360,-,-,-,-,0.2852852852852853,,,,,,,,
False,2017-06-03,matthew lopez,johnny eduardo,47%,53%,-195,+170,-110,-110,-118,-106,-,-,-,-,0.6409007912355448,,,,,,,,
False,2017-06-03,eric spicely,antonio carlos jr.,54%,46%,+185,-220,+275,-350,+260,-345,-,-,-,-,0.337909186906019,,,,,,,,
False,2017-06-03,marlon moraes,raphael assuncao,51%,49%,-205,+175,-250,+200,-250,+195,-,-,-,-,0.6489208633093525,,,,,,,,
False,2017-06-03,yancy medeiros,erick silva,54%,46%,-110,-110,-138,+110,-150,+120,-,-,-,-,0.5,,,,,,,,
False,2017-06-03,oluwale bamgbose,paulo costa,58%,42%,+240,-280,+225,-275,+215,-278,-,-,-,-,0.2852852852852853,,,,,,,,
False,2017-06-03,nate marquardt,vitor belfort,62%,38%,+109,-129,+138,-163,+140,-180,-,-,-,-,0.4592767894747398,,,,,,,,
False,2017-06-03,karolina kowalkiewicz,claudia gadelha,57%,43%,+235,-275,+250,-333,+230,-305,-,-,-,-,0.2892960462873674,,,,,,,,
False,2017-06-03,max holloway,jose aldo,60%,40%,+115,-135,+130,-160,+125,-150,-,-,-,-,0.447405997144217,,,,,,,,
False,2017-06-10,chanmi jeon,jj aldrich,43%,57%,+183,-213,+150,-175,+150,-190,-,-,-,-,0.3417814127693031,,,,,,,,
False,2017-06-10,zak ottow,kiichi kunimoto,57%,43%,-300,+250,-400,+300,-360,+275,-,-,-,-,0.7241379310344829,,,,,,,,
False,2017-06-10,ashkan mokhtarian,john moraga,34%,66%,+113,-133,+170,-200,+160,-200,-,-,-,-,0.4512967518255245,,,,,,,,
False,2017-06-10,dominique steele,luke jumeau,40%,60%,-162,+142,-188,+163,-190,+150,-,-,-,-,0.5994128799461808,,,,,,,,
False,2017-06-10,vinc pichel,damien brown,46%,54%,-110,-110,-125,+100,-124,+100,-,-,-,-,0.5,,,,,,,,
False,2017-06-10,mizuto hirota,alexander volkanovski,57%,43%,+215,-255,+500,-700,+450,-670,-,-,-,-,0.30649687027843725,,,,,,,,
False,2017-06-10,ben nguyen,tim elliott,45%,55%,+175,-205,+150,-175,+150,-190,-,-,-,-,0.3510791366906475,,,,,,,,
False,2017-06-10,henrique da silva,ion cutelaba,47%,53%,+160,-185,+225,-275,+230,-305,-,-,-,-,0.3720626631853786,,,,,,,,
False,2017-06-10,ross pearson,dan hooker,32%,68%,+165,-190,+125,-150,+120,-150,-,-,-,-,0.36546943919344677,,,,,,,,
False,2017-06-10,daniel kelly,derek brunson,52%,48%,+210,-250,+200,-250,+215,-278,-,-,-,-,0.31111111111111106,,,,,,,,
False,2017-06-10,mark hunt,derrick lewis,58%,42%,+110,-130,+125,-150,+125,-150,-,-,-,-,0.4572564612326044,,,,,,,,
True,2017-06-10,thibault gouti,dong hyun kim,,,,,,,,,,,,,,,,,,,,,
False,2017-06-17,ji yeon kim,lucie pudilova,48%,52%,+145,-165,+110,-138,+110,-137,-,-,-,-,0.39596563317146055,,,,,,,,
False,2017-06-17,carls john de tomas,naoki inoue,48%,52%,+220,-260,+225,-275,+230,-305,-,-,-,-,0.3020134228187919,,,,,,,,
False,2017-06-17,russell doane,kwan ho kwak,58%,42%,+125,-145,+100,-125,+100,-124,-,-,-,-,0.42888402625820565,,,,,,,,
False,2017-06-17,frank camacho,li jingliang,64%,36%,+335,-405,+400,-550,+350,-500,-,-,-,-,0.2227859269879784,,,,,,,,
False,2017-06-17,ulka sasaki,justin scoggins,70%,30%,+360,-460,+400,-550,+400,-590,-,-,-,-,0.2092675635276532,,,,,,,,
False,2017-06-17,rolando dy,alex caceres,57%,43%,+225,-265,+250,-333,+250,-335,-,-,-,-,0.2976554536187564,,,,,,,,
False,2017-06-17,walt harris,cyril asker,45%,55%,-265,+225,-350,+275,-345,+260,-,-,-,-,0.7023445463812437,,,,,,,,
False,2017-06-17,jon tuck,takanori gomi,53%,47%,-215,+185,-333,+250,-360,+275,-,-,-,-,0.6604688763136621,,,,,,,,
False,2017-06-17,tarec saffiedine,rafael dos anjos,60%,40%,+250,-300,+188,-225,+175,-225,-,-,-,-,0.27586206896551724,,,,,,,,
False,2017-06-17,colby covington,dong hyun kim,41%,59%,-200,+170,-275,+225,-250,+195,-,-,-,-,0.6428571428571429,,,,,,,,
False,2017-06-17,marcin tybura,andrei arlovski,49%,51%,-225,+190,-225,+188,-230,+180,-,-,-,-,0.6675191815856777,,,,,,,,
False,2017-06-17,bethe correia,holly holm,63%,37%,+330,-400,+400,-550,+415,-590,-,-,-,-,0.22522522522522523,,,,,,,,
False,2017-06-25,johnny case,anthony rocco martin,51%,49%,+125,-145,+110,-138,+100,-124,-,-,-,-,0.42888402625820565,,,,,,,,
False,2017-06-25,vitor miranda,marvin vettori,68%,32%,+265,-315,+275,-350,+275,-360,-,-,-,-,0.26521808595622304,,,,,,,,
False,2017-06-25,jeremy kimball,josh stansbury,44%,56%,+155,-180,+140,-170,+130,-162,-,-,-,-,0.37889039242219213,,,,,,,,
False,2017-06-25,michel quinones,jared gordon,52%,48%,+105,-125,+125,-150,+120,-150,-,-,-,-,0.4675324675324675,,,,,,,,
False,2017-06-25,darrell horcher,devin powell,47%,53%,-310,+260,-450,+350,-500,+350,-,-,-,-,0.7313237221494101,,,,,,,,
False,2017-06-25,maryna moroz,carla esparza,57%,43%,+185,-215,+175,-210,+180,-230,-,-,-,-,0.3395311236863379,,,,,,,,
False,2017-06-25,erik koch,clay guida,43%,57%,-250,+210,-350,+275,-360,+275,-,-,-,-,0.6888888888888889,,,,,,,,
False,2017-06-25,dennis siver,bj penn,46%,54%,-250,+210,-163,+138,-150,+120,-,-,-,-,0.6888888888888889,,,,,,,,
False,2017-06-25,alex garcia,tim means,55%,45%,+170,-200,+250,-333,+230,-305,-,-,-,-,0.35714285714285715,,,,,,,,
False,2017-06-25,joachim christensen,dominick reyes,61%,39%,+240,-280,+275,-350,+260,-345,-,-,-,-,0.2852852852852853,,,,,,,,
False,2017-06-25,justine kish,felice herrig,51%,49%,-125,+105,-175,+150,-150,+120,-,-,-,-,0.5324675324675325,,,,,,,,
False,2017-06-25,johny hendricks,tim boetsch,43%,57%,-230,+195,-160,+130,-162,+130,-,-,-,-,0.6727813584531482,,,,,,,,
False,2017-06-25,kevin lee,michael chiesa,45%,55%,-120,+100,-138,+110,-130,+110,-,-,-,-,0.5217391304347826,,,,,,,,
False,2017-07-07,juliana lima,tecia torres,5%,95%,+250,-300,+380,-500,-,-,-,-,-,-,0.27586206896551724,,,,,,,,
False,2017-07-07,teruto ishihara,gray maynard,48%,52%,-255,+215,-350,+275,-,-,-,-,-,-,0.6935031297215627,,,,,,,,
False,2017-07-07,cb dollaway,ed herman,41%,59%,-200,+170,-175,+150,-,-,-,-,-,-,0.6428571428571429,,,,,,,,
False,2017-07-07,ashley yoder,angela hill,3%,97%,+220,-260,+275,-350,-,-,-,-,-,-,0.3020134228187919,,,,,,,,
False,2017-07-07,tom gallicchio,james krause,0%,100%,+270,-330,+380,-500,-,-,-,-,-,-,0.26044821320411876,,,,,,,,
False,2017-07-07,marcel fortuna,jordan johnson,60%,40%,+190,-225,+180,-220,-,-,-,-,-,-,0.33248081841432225,,,,,,,,
False,2017-07-07,jared cannonier,nick roehrick,45%,55%,-255,+215,-300,+240,-,-,-,-,-,-,0.6935031297215627,,,,,,,,
False,2017-07-07,elias theodorou,brad tavares,52%,48%,-140,+120,-110,-110,-,-,-,-,-,-,0.562043795620438,,,,,,,,
False,2017-07-07,drakkar klose,marc diakiese,61%,39%,+220,-260,+200,-250,-,-,-,-,-,-,0.3020134228187919,,,,,,,,
False,2017-07-07,dhiego lima,jesse taylor,47%,53%,+170,-200,+125,-150,-,-,-,-,-,-,0.35714285714285715,,,,,,,,
