"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"5432","NCAAF_NotreDame_SouthFlorida_20110903",20110903,"NotreDame","SouthFlorida",20,23,-5.11111111111111,-108.888888888889,-108.888888888889,-407.222222222222,333
"5433","NCAAF_NorthCarolina_JamesMadison_20110903",20110903,"NorthCarolina","JamesMadison",42,10,-5,-109.444444444444,-109.444444444444,-866.666666666667,626.666666666667
"5434","NCAAF_Clemson_Troy_20110903",20110903,"Clemson","Troy",43,19,-4.125,-108.625,-109,-560,448.857142857143
"5435","NCAAF_Navy_Delaware_20110903",20110903,"Navy","Delaware",40,17,23.2222222222222,-110.555555555556,-83.25,-346.666666666667,286.666666666667
"5436","NCAAF_Tulane_SoutheasternLouisiana_20110903",20110903,"Tulane","SoutheasternLouisiana",47,33,-5.27777777777778,-86.3333333333333,-110.444444444444,-816.666666666667,590
"5437","NCAAF_Illinois_ArkansasState_20110903",20110903,"Illinois","ArkansasState",33,15,-7.27777777777778,-109.375,-109.111111111111,-971.666666666667,689.857142857143
"5438","NCAAF_Houston_UCLA_20110903",20110903,"Houston","UCLA",38,34,0.5625,-110,-107.5,-122.125,104.5
"5439","NCAAF_Michigan_WesternMichigan_20110903",20110903,"Michigan","WesternMichigan",34,10,-4.77777777777778,-108.888888888889,-108.888888888889,-576.25,456
"5440","NCAAF_OregonState_SacramentoState_20110903",20110903,"OregonState","SacramentoState",28,29,-1.875,-110.625,-83.25,-3500,1750
"5441","NCAAF_OleMiss_BrighamYoung_20110903",20110903,"OleMiss","BrighamYoung",13,14,40.875,-111.625,-80.875,108.5,-126.125
"5442","NCAAF_WashingtonState_IdahoState_20110903",20110903,"WashingtonState","IdahoState",64,21,-9.44444444444444,-108.875,-109.888888888889,-12500,5000
"5443","NCAAF_Stanford_SanJoseState_20110903",20110903,"Stanford","SanJoseState",57,3,-3.83333333333333,-108.666666666667,-109,-4833.33333333333,2666.66666666667
"5444","NCAAF_Pittsburgh_Buffalo_20110903",20110903,"Pittsburgh","Buffalo",35,16,-3.66666666666667,-108.777777777778,-109,-5666.66666666667,3083.33333333333
"5445","NCAAF_Tennessee_Montana_20110903",20110903,"Tennessee","Montana",42,16,-1.5625,-82.875,-110.888888888889,-7000,3000
"5446","NCAAF_NorthCarolinaState_Liberty_20110903",20110903,"NorthCarolinaState","Liberty",43,21,-4.27777777777778,-110.111111111111,-86.5555555555556,-10000,4000
"5447","NCAAF_IowaState_NorthernIowa_20110903",20110903,"IowaState","NorthernIowa",20,19,14.1666666666667,-109.375,-110.111111111111,-416.666666666667,343.333333333333
"5448","NCAAF_UCF_CharlestonSouthern_20110903",20110903,"UCF","CharlestonSouthern",62,0,-4.33333333333333,-109.555555555556,-109.25,-52500,17500
"5449","NCAAF_Cincinnati_AustinPeay_20110903",20110903,"Cincinnati","AustinPeay",72,10,-4.22222222222222,-109.111111111111,-109.777777777778,-60000,20000
"5450","NCAAF_EastCarolina_SouthCarolina_20110903",20110903,"EastCarolina","SouthCarolina",37,56,56.75,-108.75,-108.888888888889,812.857142857143,-1137.5
"5451","NCAAF_Washington_EasternWashington_20110903",20110903,"Washington","EasternWashington",30,27,-3.75,-109.75,-109,-883.333333333333,651.666666666667
"5452","NCAAF_Kansas_McNeeseState_20110903",20110903,"Kansas","McNeeseState",42,24,-4.88888888888889,-109.555555555556,-109.333333333333,-593.333333333333,465
"5453","NCAAF_KansasState_EasternKentucky_20110903",20110903,"KansasState","EasternKentucky",10,7,-4.16666666666667,-110.222222222222,-86.4444444444444,-8500,3500
"5454","NCAAF_NorthernIllinois_Army_20110903",20110903,"NorthernIllinois","Army",49,26,-5.55555555555556,-109.375,-108.888888888889,-373.888888888889,307.222222222222
"5455","NCAAF_OklahomaState_LouisianaLafayette_20110903",20110903,"OklahomaState","LouisianaLafayette",61,34,-4.55555555555556,-108.111111111111,-109.666666666667,-23000,8375
"5456","NCAAF_California_FresnoState_20110903",20110903,"California","FresnoState",36,21,-5,-108.666666666667,-109.111111111111,-376.111111111111,307.125
"5457","NCAAF_Arkansas_MissouriState_20110903",20110903,"Arkansas","MissouriState",51,7,-4.33333333333333,-110,-86.6666666666667,-75000,25000
"5458","NCAAF_Texas_Rice_20110903",20110903,"Texas","Rice",34,9,-4.38888888888889,-108.333333333333,-109.375,-1590.71428571429,1028.57142857143
"5459","NCAAF_Oklahoma_Tulsa_20110903",20110903,"Oklahoma","Tulsa",47,14,-4.66666666666667,-108.777777777778,-109,-2225,1391.66666666667
"5460","NCAAF_Georgia_BoiseState_20110903",20110903,"Georgia","BoiseState",21,35,43.5555555555556,-61.6666666666667,-111.666666666667,131.375,-150.75
"5461","NCAAF_LSU_Oregon_20110903",20110903,"LSU","Oregon",40,27,44,-85.5555555555556,-81.4285714285714,142,-160.333333333333
"5462","NCAAF_UTEP_StonyBrook_20110903",20110903,"UTEP","StonyBrook",31,24,-4.72222222222222,-109.333333333333,-109.555555555556,-691.666666666667,540
"5463","NCAAF_Wyoming_WeberState_20110903",20110903,"Wyoming","WeberState",35,32,-5,-109.666666666667,-109.222222222222,-511.666666666667,410
"5464","NCAAF_Arizona_NorthernArizona_20110903",20110903,"Arizona","NorthernArizona",41,10,-4.33333333333333,-109.555555555556,-109.333333333333,-7000,3000
"5465","NCAAF_SanDiegoState_CalPoly_20110903",20110903,"SanDiegoState","CalPoly",49,21,-4.27777777777778,-86.5555555555556,-110.125,-3000,1633.33333333333
"5466","NCAAF_SouthernMiss_LouisianaTech_20110903",20110903,"SouthernMiss","LouisianaTech",19,17,-4.88888888888889,-108.888888888889,-108.888888888889,-425,349.875
"5480","NCAAF_EasternMichigan_Howard_20110904",20110904,"EasternMichigan","Howard",41,9,18,-110,-110,-12500,4000
"5481","NCAAF_WestVirginia_Marshall_20110904",20110904,"WestVirginia","Marshall",34,13,-4.44444444444444,-86.1111111111111,-109.444444444444,-1371.28571428571,905.714285714286
"5482","NCAAF_TexasAM_SouthernMethodist_20110904",20110904,"TexasAM","SouthernMethodist",46,14,-5.05555555555556,-108.888888888889,-108.888888888889,-533.571428571429,426.666666666667
"5498","NCAAF_Maryland_MiamiFL_20110905",20110905,"Maryland","MiamiFL",32,24,19.3888888888889,-108.777777777778,-109,-174.777777777778,156.111111111111
"5537","NCAAF_OklahomaState_Arizona_20110908",20110908,"OklahomaState","Arizona",37,14,-5.05555555555556,-108.888888888889,-108.888888888889,-560.714285714286,446.375
"5546","NCAAF_Louisville_FloridaInternational_20110909",20110909,"Louisville","FloridaInternational",17,24,13.5555555555556,-89.8888888888889,-61.3333333333333,-154.666666666667,136.333333333333
"5547","NCAAF_ArizonaState_Missouri_20110909",20110909,"ArizonaState","Missouri",37,30,-5.11111111111111,-86.1111111111111,-110.555555555556,-371.111111111111,304.444444444444
"5559","NCAAF_IowaState_Iowa_20110910",20110910,"IowaState","Iowa",44,41,50,-109.555555555556,-109.333333333333,206.666666666667,-245
"5560","NCAAF_Kentucky_CentralMichigan_20110910",20110910,"Kentucky","CentralMichigan",27,13,-5.05555555555556,-86.6666666666667,-110,-362.5,300.75
"5561","NCAAF_MichiganState_FloridaAtlantic_20110910",20110910,"MichiganState","FloridaAtlantic",44,0,-9.33333333333333,-109.125,-108.777777777778,-10250,5625
"5562","NCAAF_OhioState_Toledo_20110910",20110910,"OhioState","Toledo",27,22,-5.11111111111111,-86.6666666666667,-110,-791.428571428571,583.857142857143
"5563","NCAAF_Army_SanDiegoState_20110910",20110910,"Army","SanDiegoState",20,23,37.3333333333333,-110.25,-85.5555555555556,264.222222222222,-316.666666666667
"5564","NCAAF_Illinois_SouthDakotaState_20110910",20110910,"Illinois","SouthDakotaState",0,0,-4.22222222222222,-109.444444444444,-109.285714285714,-5000,2000
"5565","NCAAF_NorthCarolina_Rutgers_20110910",20110910,"NorthCarolina","Rutgers",24,22,14.2222222222222,-110.222222222222,-85.4444444444444,-326.111111111111,271.111111111111
"5566","NCAAF_WestVirginia_NorfolkState_20110910",20110910,"WestVirginia","NorfolkState",0,0,-5.05555555555556,-109.666666666667,-109.222222222222,-250000,50000
"5567","NCAAF_EasternMichigan_AlabamaState_20110910",20110910,"EasternMichigan","AlabamaState",14,7,-5.22222222222222,-110.333333333333,-86.4444444444444,-540,390
"5568","NCAAF_Pittsburgh_Maine_20110910",20110910,"Pittsburgh","Maine",35,29,-4.27777777777778,-108.777777777778,-110.111111111111,-15500,5000
"5569","NCAAF_ColoradoState_NorthernColorado_20110910",20110910,"ColoradoState","NorthernColorado",33,14,-4.33333333333333,-110.444444444444,-86.3333333333333,-2000,1100
"5570","NCAAF_Duke_Stanford_20110910",20110910,"Duke","Stanford",14,44,52.2222222222222,-85.8888888888889,-109.666666666667,802.857142857143,-1146.42857142857
"5571","NCAAF_WakeForest_NorthCarolinaState_20110910",20110910,"WakeForest","NorthCarolinaState",0,0,31.6666666666667,-108.666666666667,-109.111111111111,102.125,-119.75
